,날짜,경기타입,홈경기,상대,승패,결과,타순,Pos.,GS,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
0,2014-09-09,SS,0,넥센,패배, 8:13,3,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,7,0.13,-0.58,-0.003
1,2015-05-06,SS,0,NC,패배, 4:5,7,8,1,4,3,1,1,1,0,0,2,1,0,0,1,0,0,2,0,0,0,0.333,0.500,0.667,1.167,22,1.11,1.01,0.113
2,2015-05-07,SS,0,NC,승리, 4:2,8,7,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.143,0.250,0.286,0.536,20,1.20,-1.53,-0.112
3,2015-08-08,SS,0,NC,패배, 2:9,8,8,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.111,0.273,0.222,0.495,15,0.34,-0.21,-0.025
4,2015-08-09,SS,0,NC,승리, 9:2,6,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0.273,0.222,0.495,0,,,
5,2015-08-12,SS,1,두산,승리, 3:10,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0.273,0.222,0.495,0,,,
6,2015-08-14,SS,1,삼성,승리, 1:13,5,7,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.091,0.231,0.182,0.413,7,0.00,-0.32,0.000
7,2015-08-15,SS,0,LG,승리, 2:1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091,0.231,0.182,0.413,0,,,
8,2015-08-17,SS,0,LG,패배, 2:3,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091,0.231,0.182,0.413,0,,,
9,2015-09-05,SS,0,삼성,승리, 4:0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091,0.231,0.182,0.413,0,,,
10,2015-09-06,SS,0,삼성,패배, 3:9,1,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.083,0.214,0.167,0.381,3,0.02,-0.12,-0.001
11,2016-04-09,SS,0,KT,승리, 6:3,6,8,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,1.02,0.96,0.119
12,2016-04-12,SS,0,SK,승리, 7:6,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0,,,
13,2016-04-13,SS,0,SK,패배, 0:2,9,8,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,8,1.38,-0.21,-0.004
14,2016-04-14,SS,0,SK,패배, 6:7,2,8,1,4,3,0,1,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0.429,0.500,0.429,0.929,15,1.43,-1.21,-0.101
15,2016-04-15,SS,1,넥센,승리, 6:11,2,8,1,4,4,2,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0.455,0.500,0.455,0.955,12,1.12,0.64,0.060
16,2016-04-17,SS,1,넥센,패배, 2:1,2,8,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.429,0.467,0.429,0.896,14,2.24,-0.23,-0.018
17,2016-04-19,SS,1,삼성,승리, 2:7,2,8,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.389,0.421,0.389,0.810,16,0.64,-0.58,-0.040
18,2016-04-20,SS,1,삼성,패배, 2:1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.389,0.421,0.389,0.810,0,,,
19,2016-04-21,SS,1,삼성,패배, 8:1,8,8,1,4,4,0,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0.409,0.435,0.455,0.890,13,0.34,0.31,-0.034
20,2016-04-22,SS,0,롯데,패배, 5:7,8,8,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.385,0.407,0.423,0.830,18,0.82,-0.49,-0.009
21,2016-04-23,SS,0,롯데,승리, 16:10,2,8,1,6,4,3,2,0,0,1,5,1,0,0,2,0,0,1,0,0,0,0.400,0.455,0.533,0.988,25,0.51,1.37,0.082
22,2016-04-24,SS,0,롯데,승리, 11:4,2,8,1,6,6,3,4,0,1,0,6,2,2,0,0,0,0,1,0,0,0,0.444,0.487,0.611,1.098,19,0.47,2.12,0.123
23,2016-04-26,SS,0,한화,패배, 2:4,1,8,1,5,4,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.400,0.455,0.550,1.005,24,1.26,-1.02,-0.073
24,2016-04-28,SS,0,한화,패배, 2:3,9,8,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.356,0.408,0.489,0.897,27,1.21,-1.22,-0.152
25,2016-04-29,SS,1,두산,승리, 1:4,9,8,1,4,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.333,0.396,0.458,0.854,15,0.84,-0.94,-0.100
26,2016-05-01,SS,1,두산,패배, 4:1,2,9,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.320,0.393,0.440,0.833,11,1.35,-0.85,-0.072
27,2016-05-03,SS,1,롯데,승리, 2:3,2,9,1,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.321,0.390,0.434,0.824,10,0.79,-0.48,-0.016
28,2016-05-04,SS,1,롯데,승리, 2:3,2,9,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.298,0.365,0.404,0.769,16,1.09,-1.11,-0.108
29,2016-05-05,SS,1,롯데,승리, 1:17,5,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293,0.359,0.397,0.756,3,0.00,-0.28,0.000
30,2016-05-06,SS,0,넥센,패배, 6:15,6,9,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.305,0.369,0.407,0.776,4,0.02,0.90,0.001
31,2016-05-08,SS,0,넥센,패배, 6:7,8,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.300,0.364,0.400,0.764,5,1.34,-0.28,-0.034
32,2016-05-11,SS,1,KT,승리, 3:8,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.300,0.364,0.400,0.764,0,,,
33,2016-05-12,SS,1,KT,승리, 6:10,4,9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.300,0.373,0.400,0.773,1,0.07,0.22,0.001
34,2016-05-13,SS,1,한화,승리, 2:4,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.300,0.373,0.400,0.773,0,,,
35,2016-05-14,SS,1,한화,승리, 0:8,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.300,0.373,0.400,0.773,0,,,
36,2016-05-15,SS,1,한화,승리, 7:8,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.300,0.373,0.400,0.773,0,,,
37,2016-05-17,SS,0,두산,패배, 3:4,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.300,0.373,0.400,0.773,0,4.05,-0.73,-0.189
38,2016-05-18,SS,0,두산,패배, 5:15,1,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295,0.368,0.393,0.761,4,0.00,-0.28,0.000
39,2016-05-19,SS,0,두산,패배, 3:8,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295,0.368,0.393,0.761,0,,,
40,2016-05-20,SS,1,SK,승리, 4:5,2,9,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.281,0.352,0.375,0.727,9,1.33,-1.27,-0.111
41,2016-05-22,SS,1,SK,승리, 4:7,7,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.281,0.352,0.375,0.727,0,0.15,0.21,0.003
42,2016-05-26,SS,0,삼성,승리, 9:2,3,7,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.292,0.361,0.385,0.746,3,0.01,0.90,0.001
43,2016-05-27,SS,1,NC,패배, 13:7,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292,0.361,0.385,0.746,0,,,
44,2016-05-28,SS,1,NC,패배, 13:5,8,8,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.275,0.342,0.362,0.704,16,0.62,-1.43,-0.066
45,2016-05-29,SS,1,NC,패배, 9:8,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275,0.342,0.362,0.704,0,,,
46,2016-06-25,SS,0,NC,승리, 9:0,2,7,1,6,4,1,1,0,0,0,1,0,1,0,2,0,0,1,0,0,0,0.274,0.354,0.356,0.710,19,0.66,0.62,0.104
47,2016-06-26,SS,0,NC,승리, 15:4,2,7,1,5,5,1,3,1,1,0,6,2,0,0,0,0,0,0,0,1,0,0.295,0.368,0.410,0.778,22,0.60,2.44,0.039
48,2016-06-28,SS,1,LG,승리, 2:11,2,8,1,5,5,1,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0.301,0.370,0.410,0.780,13,0.63,0.64,0.132
49,2016-06-29,SS,1,LG,승리, 4:5,2,9,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.294,0.362,0.400,0.762,10,1.05,0.03,0.036
50,2016-06-30,SS,1,LG,패배, 10:9,2,9,1,4,4,1,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0.292,0.357,0.393,0.750,13,0.77,0.76,0.104
51,2016-07-01,SS,0,넥센,패배, 7:10,2,9,1,5,4,1,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0.301,0.369,0.398,0.767,15,0.23,0.16,0.002
52,2016-07-02,SS,0,넥센,패배, 5:8,2,7,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.289,0.355,0.381,0.736,16,1.17,-1.86,-0.154
53,2016-07-03,SS,0,넥센,패배, 6:7,2,9,1,6,6,1,2,0,0,1,5,1,0,0,0,0,0,1,0,0,0,0.291,0.354,0.408,0.762,23,1.38,0.92,0.054
54,2016-07-06,SS,0,KT,승리, 7:0,2,9,1,4,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.283,0.350,0.396,0.746,22,0.69,0.51,0.029
55,2016-07-07,SS,0,KT,승리, 5:2,2,9,1,4,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.284,0.355,0.394,0.749,20,0.60,0.01,0.023
56,2016-07-08,SS,0,두산,승리, 12:6,2,9,0,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.288,0.358,0.396,0.754,5,0.02,0.15,0.000
57,2016-07-09,SS,0,두산,패배, 6:7,9,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288,0.358,0.396,0.754,0,,,
58,2016-07-10,SS,0,두산,승리, 13:3,5,7,0,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.295,0.363,0.411,0.774,6,0.01,1.18,0.001
59,2016-07-12,SS,1,SK,패배, 7:3,3,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292,0.360,0.407,0.767,1,2.92,-0.26,-0.027
60,2016-07-13,SS,1,SK,승리, 3:4,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292,0.360,0.407,0.767,0,,,
61,2016-07-14,SS,1,SK,패배, 11:4,2,7,1,4,4,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0.282,0.349,0.393,0.742,16,1.06,-0.92,-0.051
62,2016-07-19,SS,0,롯데,승리, 6:1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282,0.349,0.393,0.742,0,,,
63,2016-07-21,SS,0,롯데,패배, 1:10,9,7,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.275,0.341,0.383,0.724,15,0.43,-0.95,-0.031
64,2016-07-22,SS,1,NC,승리, 4:9,2,9,1,5,4,2,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.274,0.343,0.379,0.722,19,0.36,-1.41,0.040
65,2016-07-23,SS,1,NC,패배, 5:0,2,8,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.276,0.343,0.378,0.721,10,0.76,-0.37,-0.023
66,2016-07-24,SS,1,NC,패배, 8:2,2,7,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0.275,0.340,0.374,0.714,24,0.91,-0.56,-0.075
67,2016-07-26,SS,1,KT,승리, 0:13,2,7,1,5,5,4,4,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0.294,0.356,0.390,0.746,22,0.49,2.08,0.050
68,2016-07-27,SS,1,KT,승리, 3:8,2,7,1,5,5,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.298,0.357,0.390,0.747,23,1.12,0.46,0.097
69,2016-07-28,SS,1,KT,승리, 3:9,2,7,1,5,5,1,3,0,0,0,3,3,0,0,0,0,0,1,0,0,0,0.308,0.365,0.397,0.762,16,0.27,1.75,0.044
70,2016-07-29,SS,0,SK,승리, 14:8,2,9,1,6,5,3,2,0,0,1,5,3,0,0,1,0,0,0,0,0,0,0.311,0.370,0.417,0.787,21,0.73,1.95,0.169
71,2016-07-30,SS,0,SK,승리, 2:1,2,9,1,4,3,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.312,0.373,0.416,0.789,24,0.79,0.06,0.021
72,2016-07-31,SS,0,SK,승리, 6:5,2,9,1,5,4,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.304,0.368,0.405,0.773,26,1.17,-1.06,-0.109
73,2016-08-02,SS,1,한화,승리, 9:10,2,9,1,5,5,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.301,0.363,0.399,0.762,26,2.24,-0.70,-0.182
74,2016-08-03,SS,1,한화,패배, 8:1,2,9,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.297,0.359,0.394,0.753,11,0.91,-0.51,-0.046
75,2016-08-04,SS,1,한화,승리, 5:7,1,9,1,4,3,2,2,0,0,0,2,0,3,0,1,0,0,0,0,0,0,0.304,0.368,0.399,0.767,16,1.13,1.51,0.144
76,2016-08-05,SS,0,삼성,패배, 5:8,1,9,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.302,0.365,0.395,0.760,17,0.95,-0.86,-0.064
77,2016-08-06,SS,0,삼성,승리, 13:6,1,9,1,5,5,1,1,0,0,1,4,2,0,0,0,0,0,1,0,0,0,0.299,0.361,0.407,0.768,17,0.40,-0.02,-0.010
78,2016-08-07,SS,0,삼성,패배, 7:11,1,8,1,4,3,1,2,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0.306,0.369,0.411,0.780,15,1.30,1.56,0.139
79,2016-08-09,SS,0,두산,패배, 4:11,2,9,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.304,0.366,0.408,0.774,12,0.25,-0.37,-0.025
80,2016-08-10,SS,0,두산,승리, 12:4,1,9,1,5,4,2,2,0,0,0,2,2,0,0,1,0,0,1,0,0,0,0.309,0.372,0.410,0.782,24,0.72,1.49,0.098
81,2016-08-11,SS,0,넥센,패배, 7:8,1,8,1,4,4,1,3,0,0,0,3,2,0,1,0,0,0,1,0,1,0,0.318,0.379,0.417,0.796,21,1.35,0.54,0.073
82,2016-08-12,SS,0,넥센,승리, 8:2,1,7,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.321,0.382,0.420,0.802,6,1.16,0.70,0.059
83,2016-10-02,SS,1,KT,승리, 1:3,9,9,1,3,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.318,0.381,0.415,0.796,11,1.13,-0.01,0.024
84,2016-10-03,SS,1,KT,승리, 6:9,9,9,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313,0.376,0.409,0.785,16,0.42,-1.04,-0.033
85,2016-10-05,SS,0,삼성,승리, 4:2,9,9,1,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0.312,0.377,0.407,0.784,13,1.14,-0.05,0.005
86,2016-10-06,SS,1,삼성,패배, 4:3,1,9,1,4,4,0,1,1,0,0,2,2,0,0,0,0,0,1,0,0,0,0.310,0.375,0.409,0.784,24,1.24,0.84,0.118
87,2016-10-08,SS,0,한화,패배, 5:6,1,9,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.309,0.373,0.406,0.779,18,0.47,-0.73,-0.032
88,2017-03-31,SS,0,삼성,승리, 7:2,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,,,
89,2017-04-01,SS,0,삼성,승리, 9:7,2,7,1,6,5,0,2,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0.400,0.500,0.400,0.900,23,0.53,1.24,0.001
90,2017-04-02,SS,0,삼성,패배, 3:16,2,9,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.400,0.333,0.733,10,0.23,-0.56,-0.007
91,2017-04-04,SS,1,SK,승리, 1:6,1,9,0,4,2,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0.273,0.429,0.273,0.702,16,1.01,-0.51,-0.025
92,2017-04-06,SS,1,SK,승리, 4:6,2,9,1,5,4,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.200,0.368,0.200,0.568,25,0.74,-1.11,-0.064
