,날짜,경기타입,홈경기,상대,승패,결과,GS,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA,GSC,DEC,Int,trade_team
0,2012-07-18,SS,1,삼성,패배, 11:1,0,2.0,3,3,0.0,12,11,5,1,0,0,1,0,0,1,36,3.0,0.455,0.5,1.045,13.5,,,,,,7+일,before
1,2013-04-04,SS,1,KIA,패배, 12:4,0,0.1,0,0,1.2,3,3,2,0,0,0,0,0,0,0,8,6.0,0.667,0.667,1.334,0.0,0.01,-1.48,0.0,,,7+일,before
2,2013-04-11,SS,0,삼성,패배, 3:9,0,2.0,0,0,0.0,6,6,0,0,0,0,0,0,0,1,17,0.86,0.222,0.222,0.444,0.0,0.02,1.06,0.002,,,7일,before
3,2013-04-12,SS,1,LG,패배, 6:1,0,2.0,0,0,0.0,7,7,2,0,0,0,0,0,0,1,31,0.92,0.25,0.25,0.5,0.0,0.05,1.06,0.005,,,1일,before
4,2013-04-19,SS,0,두산,패배, 1:15,0,2.0,7,6,7.0,14,11,5,1,2,0,2,0,1,1,47,1.74,0.333,0.4,0.919,8.53,0.42,-5.94,-0.204,,,7일,before
5,2013-05-23,SS,0,KIA,패배, 2:10,0,2.0,1,1,1.0,9,9,3,0,0,1,0,0,0,1,32,1.68,0.333,0.385,0.941,7.56,0.01,0.06,-0.002,,,7+일,before
6,2013-05-24,SS,1,삼성,패배, 8:1,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,3,12,1.5,0.308,0.357,0.87,6.75,0.0,0.53,0.0,,,1일,before
7,2013-05-29,SS,0,LG,패배, 1:7,0,4.1,2,2,2.0,19,19,6,0,1,1,0,0,0,5,67,1.46,0.31,0.344,0.878,5.93,0.43,-0.22,-0.001,,,5일,before
8,2013-06-01,SS,1,NC,패배, 8:3,0,1.0,1,1,1.35,5,5,2,0,1,0,0,0,0,1,27,1.5,0.317,0.348,0.904,6.14,0.15,-0.61,-0.01,,,3일,before
9,2013-06-08,SS,0,SK,패배, 3:4,0,0.0,0,0,0.5,1,1,1,0,0,0,0,0,0,0,8,1.57,0.328,0.358,0.921,6.14,3.26,1.48,-0.185,,,7일,before
10,2013-06-11,SS,1,LG,패배, 11:3,0,3.0,1,1,2.2,11,10,1,1,0,0,1,0,0,2,46,1.42,0.297,0.333,0.847,5.6,0.2,-0.46,-0.02,,,3일,before
11,2013-06-14,SS,0,롯데,패배, 5:9,0,1.0,0,0,1.2,4,4,1,1,0,0,0,0,0,2,17,1.39,0.295,0.329,0.842,5.3,0.26,-0.52,-0.024,,,3일,before
12,2013-06-19,SS,1,KIA,패배, 8:2,0,1.2,1,0,1.5,10,8,2,1,0,0,2,0,0,4,43,1.48,0.291,0.337,0.837,4.87,0.17,-0.45,-0.02,,,5일,before
13,2013-06-22,SS,0,두산,패배, 7:8,0,3.1,2,2,1.5,13,12,3,0,0,0,0,0,0,2,42,1.39,0.286,0.327,0.796,4.94,1.12,1.13,0.034,,,3일,before
14,2013-06-30,SS,1,넥센,패배, 6:0,1,4.0,5,5,5.0,18,16,5,0,0,2,2,0,0,3,67,1.45,0.289,0.336,0.836,5.86,0.6,-2.89,-0.296,33,L,7+일,before
15,2013-07-12,SS,0,삼성,패배, 2:7,1,2.0,4,4,4.0,13,11,5,2,0,1,0,0,2,0,53,1.52,0.304,0.356,0.892,6.67,0.72,-3.34,-0.292,30,L,7+일,before
16,2013-07-25,SS,1,롯데,패배, 5:1,0,1.0,0,0,0.0,4,4,1,0,0,0,0,0,0,1,17,1.5,0.302,0.353,0.88,6.46,0.07,0.53,0.004,,,7+일,before
17,2013-07-30,SS,0,넥센,승리, 10:3,0,1.0,0,0,0.0,5,4,1,0,0,0,1,0,0,2,25,1.52,0.301,0.354,0.873,6.25,0.02,0.53,0.001,,,5일,before
18,2013-08-01,SS,0,넥센,패배, 2:5,0,2.0,0,0,0.0,8,8,2,1,0,0,0,0,0,2,30,1.49,0.298,0.349,0.86,5.88,0.19,1.06,0.022,,,2일,before
19,2013-08-02,SS,0,NC,패배, 0:4,0,1.2,0,0,0.0,7,5,1,1,0,0,1,0,1,0,24,1.47,0.295,0.352,0.859,5.6,0.18,0.54,0.014,,,1일,before
20,2013-08-07,SS,1,SK,패배, 7:1,0,2.1,1,1,1.0,8,8,1,0,0,1,0,0,0,2,25,1.41,0.286,0.341,0.847,5.5,0.09,0.85,0.004,,,5일,before
21,2013-08-08,SS,0,삼성,패배, 3:10,0,2.0,2,2,2.35,8,8,3,1,0,1,0,0,0,1,29,1.41,0.29,0.343,0.868,5.67,0.03,-0.63,-0.002,,,1일,before
22,2013-08-10,SS,0,넥센,패배, 5:11,0,2.0,4,4,4.0,13,11,6,3,0,0,2,0,0,0,52,1.54,0.306,0.362,0.905,6.26,0.17,-2.94,-0.056,,,2일,before
23,2013-08-14,SS,1,NC,패배, 5:1,0,2.0,3,3,3.0,12,9,3,0,0,1,2,0,1,1,43,1.58,0.308,0.37,0.919,6.6,0.96,-1.94,-0.182,,,4일,before
24,2013-08-29,SS,0,롯데,패배, 0:1,1,6.0,1,1,0.3,24,20,2,2,0,0,4,0,0,0,97,1.51,0.287,0.357,0.872,5.98,1.18,2.78,0.299,60,L,7+일,before
25,2013-09-04,SS,1,두산,패배, 7:5,1,1.1,2,2,2.0,9,8,5,3,0,1,1,0,0,0,34,1.59,0.3,0.369,0.917,6.18,0.94,-1.71,-0.171,35,,6일,before
26,2013-09-07,SS,0,KIA,승리, 11:5,0,1.0,0,0,0.0,4,3,0,0,0,0,1,0,0,0,15,1.58,0.296,0.367,0.907,6.06,0.1,0.53,0.003,,,3일,before
27,2013-09-13,SS,0,NC,패배, 1:9,0,1.0,1,1,1.0,5,5,2,1,0,0,0,0,0,1,24,1.58,0.298,0.368,0.909,6.11,0.01,-0.47,-0.001,,,6일,before
28,2013-09-16,SS,1,KIA,승리, 6:9,1,3.0,2,2,2.0,13,11,4,1,0,0,2,0,0,0,54,1.61,0.301,0.373,0.91,6.11,1.02,-0.41,-0.075,41,,3일,before
29,2013-09-21,SS,1,SK,패배, 9:3,0,1.1,1,1,1.0,7,7,3,0,0,0,0,0,0,1,23,1.62,0.305,0.374,0.908,6.12,0.81,0.05,-0.036,,,5일,before
30,2013-09-28,SS,0,롯데,패배, 0:6,0,1.0,2,2,2.0,5,5,2,0,0,1,0,0,0,1,13,1.63,0.307,0.375,0.919,6.33,0.11,-1.47,-0.031,,,7일,before
31,2013-10-01,SS,1,삼성,패배, 8:2,0,2.1,1,1,1.0,10,7,1,0,0,0,2,0,1,1,42,1.62,0.302,0.375,0.907,6.23,0.12,0.56,0.008,,,3일,before
32,2014-04-06,SS,0,SK,패배, 1:8,0,3.0,1,1,1.0,10,10,1,0,0,1,0,0,0,2,41,0.33,0.1,0.1,0.5,3.0,0.04,0.93,0.001,,,7+일,before
33,2014-04-12,SS,1,넥센,패배, 6:2,1,4.1,4,4,4.0,23,18,6,0,0,1,4,0,1,3,89,1.5,0.25,0.364,0.828,6.14,1.04,-1.9,-0.27,34,L,6일,before
34,2014-04-18,SS,1,LG,패배, 5:2,0,1.0,0,0,0.0,4,4,1,1,0,0,0,0,0,2,18,1.44,0.25,0.351,0.82,5.4,0.3,0.64,0.015,,,6일,before
35,2014-04-22,SS,1,두산,패배, 6:2,0,2.0,2,2,2.0,8,6,2,1,0,1,1,0,0,1,40,1.45,0.263,0.364,0.917,6.1,0.98,-0.72,-0.122,,,4일,before
36,2014-04-30,SS,1,롯데,패배, 6:4,0,3.2,0,0,0.5,12,11,1,0,0,0,1,0,0,2,51,1.21,0.224,0.321,0.77,4.5,0.51,3.03,0.037,,,7+일,before
37,2014-05-09,SS,1,KIA,패배, 3:2,1,7.1,0,0,0.0,26,24,4,1,0,0,1,0,0,6,102,1.03,0.205,0.284,0.654,2.95,1.27,4.03,0.373,75,,7+일,before
38,2014-05-15,SS,0,삼성,패배, 3:3,1,6.0,2,2,2.0,23,23,5,0,0,1,0,0,0,1,89,0.99,0.208,0.269,0.634,2.96,0.87,1.85,0.043,55,,6일,before
39,2014-05-21,SS,0,넥센,승리, 9:7,1,5.0,3,3,2.3,24,20,6,2,0,1,2,0,1,3,96,1.08,0.224,0.289,0.686,3.34,1.25,0.78,-0.004,44,,6일,before
40,2014-05-27,SS,1,NC,패배, 18:9,1,3.0,7,6,7.0,19,19,10,1,2,1,0,0,0,2,62,1.27,0.267,0.32,0.794,4.58,0.49,-5.07,-0.389,15,L,6일,before
41,2014-06-01,SS,1,SK,승리, 3:9,1,7.0,1,1,1.0,27,26,5,1,0,1,1,0,0,6,113,1.2,0.255,0.305,0.758,4.04,0.56,3.49,0.156,68,W,5일,before
42,2014-06-07,SS,1,삼성,패배, 7:4,1,6.2,4,3,4.0,28,24,6,0,0,1,2,0,0,2,99,1.2,0.254,0.303,0.746,4.04,0.69,0.23,-0.12,48,L,6일,before
43,2014-06-13,SS,0,NC,승리, 5:2,1,7.0,2,2,2.0,28,21,3,1,0,0,6,1,1,5,117,1.21,0.243,0.31,0.727,3.86,1.45,1.49,0.238,62,W,6일,before
44,2014-06-21,SS,1,LG,승리, 2:4,1,7.0,1,1,1.0,32,29,8,1,0,0,2,0,1,3,120,1.24,0.247,0.314,0.718,3.57,1.49,3.49,0.258,58,,7+일,before
45,2014-06-27,SS,0,삼성,승리, 6:4,1,8.0,3,3,3.0,31,30,5,1,0,1,1,0,0,6,125,1.18,0.238,0.301,0.693,3.55,0.79,2.14,0.079,65,W,6일,before
46,2014-07-03,SS,0,LG,패배, 4:5,1,6.2,3,3,3.0,31,29,10,5,0,1,1,0,0,6,112,1.22,0.248,0.307,0.722,3.59,0.8,1.07,-0.041,47,,6일,before
47,2014-07-09,SS,1,넥센,패배, 13:1,1,3.2,9,8,9.0,25,25,14,2,0,2,0,0,0,3,76,1.34,0.273,0.326,0.777,4.32,0.66,-6.69,-0.418,2,L,6일,before
48,2014-07-15,SS,0,SK,승리, 7:3,1,5.1,3,3,3.0,24,22,7,0,0,1,2,0,0,4,95,1.36,0.276,0.329,0.781,4.36,0.95,-0.5,0.044,44,W,6일,before
49,2014-07-23,SS,1,NC,패배, 8:4,1,5.0,4,3,4.0,23,21,7,0,0,0,1,0,1,4,95,1.37,0.279,0.332,0.777,4.42,0.96,-1.79,-0.194,42,L,7+일,before
50,2014-07-29,SS,0,넥센,패배, 3:18,1,2.2,8,7,7.5,18,16,7,1,0,2,2,0,0,2,83,1.43,0.286,0.34,0.803,4.96,0.64,-5.5,-0.332,14,L,6일,before
51,2014-08-05,SS,1,삼성,패배, 14:1,1,3.2,7,7,7.0,21,20,10,2,0,3,0,0,0,0,87,1.48,0.296,0.346,0.838,5.42,0.66,-4.56,-0.326,13,L,7일,before
52,2014-08-11,SS,0,LG,승리, 4:2,1,6.1,2,2,1.3,24,24,5,0,0,0,0,0,0,6,102,1.44,0.291,0.339,0.815,5.26,0.95,2.84,0.223,61,W,6일,before
53,2014-08-16,SS,0,NC,패배, 2:3,1,6.0,3,3,3.0,25,24,7,2,2,0,1,0,0,2,104,1.43,0.291,0.338,0.818,5.22,0.72,-0.15,-0.071,47,L,5일,before
54,2014-08-22,SS,1,SK,승리, 3:8,1,6.2,2,1,1.5,29,25,8,1,0,0,3,0,0,1,100,1.44,0.293,0.341,0.814,5.0,1.45,3.07,0.293,50,W,6일,before
55,2014-08-27,SS,1,NC,승리, 3:7,1,6.1,2,2,2.0,25,24,5,1,1,2,1,0,0,9,114,1.42,0.289,0.336,0.815,4.89,0.37,1.39,0.116,63,W,5일,before
56,2014-09-02,SS,0,SK,패배, 7:7,1,4.0,6,6,6.0,18,16,4,2,0,2,2,0,0,2,76,1.42,0.288,0.336,0.823,5.16,0.93,-4.43,-0.413,30,,6일,before
57,2014-09-07,SS,1,LG,승리, 3:5,1,7.1,3,1,3.0,27,23,6,1,0,1,1,0,0,1,89,1.4,0.287,0.333,0.818,4.95,0.86,0.48,0.024,58,,5일,before
58,2014-09-13,SS,1,KIA,패배, 3:1,1,7.0,1,0,1.0,28,24,5,0,0,0,2,1,0,5,95,1.38,0.283,0.33,0.803,4.7,1.35,3.49,0.28,68,,6일,before
59,2014-10-02,SS,0,롯데,패배, 5:10,1,4.0,6,6,6.0,22,18,8,3,1,1,3,0,0,1,90,1.41,0.288,0.336,0.822,4.94,1.0,-4.43,-0.314,20,L,7+일,before
60,2014-10-07,SS,1,롯데,승리, 5:8,1,5.1,4,3,2.95,26,24,8,0,0,1,0,0,2,5,109,1.42,0.29,0.338,0.823,4.95,1.31,0.5,-0.057,43,,5일,before
61,2014-10-13,SS,1,삼성,패배, 22:1,1,2.0,7,7,5.95,16,15,9,1,0,2,1,0,0,1,57,1.46,0.298,0.345,0.844,5.29,0.62,-5.22,-0.362,10,L,6일,before
62,2016-04-23,SS,0,두산,패배, 2:3,1,3.1,3,3,3.0,16,14,4,1,0,1,1,0,1,1,54,1.5,0.286,0.375,0.946,8.1,0.86,-0.79,-0.154,40,L,7+일,before
63,2016-04-30,SS,1,삼성,패배, 6:3,1,4.2,2,0,2.0,19,17,4,0,0,1,1,0,0,1,69,1.25,0.258,0.324,0.808,3.38,0.93,0.94,-0.018,52,L,7일,before
64,2016-05-06,SS,0,KT,패배, 3:10,1,1.1,3,3,3.0,9,7,4,2,0,0,2,0,0,0,31,1.71,0.316,0.395,0.948,5.79,1.5,-2.58,-0.236,32,L,6일,before
65,2016-05-11,SS,1,NC,승리, 5:6,1,4.0,3,3,1.95,20,16,4,0,0,0,4,0,0,2,76,1.8,0.296,0.397,0.86,6.08,1.18,0.26,-0.052,40,,5일,before
66,2016-05-17,SS,0,삼성,패배, 4:5,1,5.0,2,2,2.0,23,19,5,1,0,0,4,0,0,3,84,1.8,0.288,0.395,0.82,5.4,1.24,1.21,0.035,48,,6일,before
67,2016-05-22,SS,1,KT,패배, 18:7,1,1.0,6,6,6.0,9,9,6,0,0,3,0,0,0,0,33,2.02,0.329,0.421,0.982,7.91,0.7,-5.36,-0.381,17,L,5일,before
68,2016-05-28,SS,1,롯데,승리, 6:9,1,3.0,4,4,4.0,16,11,5,0,0,2,4,0,0,0,61,2.15,0.344,0.441,1.054,8.46,1.43,-2.07,-0.325,29,,6일,before
69,2016-06-03,SS,0,삼성,승리, 4:3,1,4.2,2,1,2.0,24,19,6,0,0,0,4,0,0,2,94,2.15,0.339,0.44,1.003,7.33,1.57,0.82,-0.043,44,,6일,before
70,2016-06-09,SS,1,KIA,패배, 12:1,1,4.1,3,3,1.95,20,17,4,0,0,0,3,0,0,5,87,2.07,0.326,0.429,0.948,7.18,1.05,0.81,0.018,45,L,6일,before
71,2016-06-23,SS,0,NC,패배, 3:3,1,1.2,3,3,3.0,11,10,5,1,0,0,0,0,0,2,43,2.12,0.338,0.43,0.955,7.64,1.03,-2.23,-0.222,35,,7+일,before
72,2016-07-02,SS,1,두산,패배, 4:1,0,0.0,0,0,0.15,1,0,0,0,0,0,1,0,0,0,8,2.15,0.338,0.434,0.959,7.64,2.4,-0.73,-0.091,,,7+일,before
73,2016-07-09,SS,1,삼성,패배, 4:4,1,6.1,1,1,1.0,24,22,4,0,0,1,2,0,0,1,95,1.96,0.317,0.411,0.908,6.64,0.95,2.63,0.221,60,,7일,before
74,2016-07-23,SS,0,롯데,패배, 6:7,1,0.2,3,3,3.0,7,6,4,0,0,0,1,0,0,0,24,2.05,0.329,0.421,0.924,7.2,1.47,-3.0,-0.261,31,,7+일,before
75,2016-07-28,SS,1,SK,승리, 8:12,1,6.1,2,2,2.0,26,26,6,2,0,1,0,0,0,6,92,1.9,0.316,0.399,0.891,6.6,0.25,2.14,0.106,59,W,5일,before
76,2016-08-03,SS,0,KIA,승리, 8:1,1,5.0,0,0,0.0,17,16,2,0,0,0,1,0,0,3,68,1.77,0.301,0.383,0.847,5.96,0.78,3.21,0.258,65,W,6일,before
77,2016-08-09,SS,1,삼성,승리, 6:9,1,5.2,3,3,3.0,22,20,4,1,0,1,2,0,0,2,78,1.7,0.293,0.374,0.833,5.84,0.83,0.58,0.039,49,W,6일,before
